benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
serial	48	32	48	UseParallelGC	0.25
serial	48	32	64	UseParallelGC	0.3
serial	48	32	96	UseParallelGC	0.46
serial	48	32	128	UseParallelGC	0.2
serial	48	32	160	UseParallelGC	0.18
serial	48	32	192	UseParallelGC	0.21
serial	48	32	224	UseParallelGC	0.23
serial	48	32	256	UseParallelGC	0.22
serial	48	32	512	UseParallelGC	0.2
serial	48	48	16	UseParallelGC	1.44
serial	48	48	32	UseParallelGC	0.57
serial	48	48	48	UseParallelGC	0.22
serial	48	48	64	UseParallelGC	0.23
serial	48	48	96	UseParallelGC	0.34
serial	48	48	128	UseParallelGC	0.2
serial	48	48	160	UseParallelGC	0.21
serial	48	48	192	UseParallelGC	0.21
serial	48	48	224	UseParallelGC	0.26
serial	48	48	256	UseParallelGC	0.22
serial	48	48	512	UseParallelGC	0.2
serial	64	16	16	UseParallelGC	0.19
serial	64	16	32	UseParallelGC	0.98
serial	64	16	48	UseParallelGC	0.25
serial	64	16	64	UseParallelGC	0.5
serial	64	16	96	UseParallelGC	0.16
serial	64	16	128	UseParallelGC	0.28
serial	64	16	160	UseParallelGC	0.53
serial	64	16	192	UseParallelGC	0.17
serial	64	16	224	UseParallelGC	0.16
serial	64	16	256	UseParallelGC	0.67
serial	64	16	512	UseParallelGC	0.19
serial	64	32	16	UseParallelGC	0.24
serial	64	32	32	UseParallelGC	0.39
serial	64	32	48	UseParallelGC	0.23
serial	64	32	64	UseParallelGC	0.28
serial	64	32	96	UseParallelGC	0.19
serial	64	32	128	UseParallelGC	0.18
serial	64	32	160	UseParallelGC	0.28
serial	64	32	192	UseParallelGC	0.18
serial	64	32	224	UseParallelGC	0.19
serial	64	32	256	UseParallelGC	0.22
serial	64	32	512	UseParallelGC	0.18
serial	64	48	16	UseParallelGC	0.18
serial	64	48	32	UseParallelGC	0.2
serial	64	48	48	UseParallelGC	0.2
serial	64	48	64	UseParallelGC	0.22
serial	64	48	96	UseParallelGC	0.18
serial	64	48	128	UseParallelGC	0.23
serial	64	48	160	UseParallelGC	0.25
serial	64	48	192	UseParallelGC	0.21
serial	64	48	224	UseParallelGC	0.24
serial	64	48	256	UseParallelGC	0.21
serial	64	48	512	UseParallelGC	2.34
serial	64	64	16	UseParallelGC	0.21
serial	64	64	32	UseParallelGC	0.24
serial	64	64	48	UseParallelGC	0.18
serial	64	64	64	UseParallelGC	0.22
serial	64	64	96	UseParallelGC	0.26
