benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
jolden	160	16	512	UseSerialGC	0.01
jolden	160	32	16	UseSerialGC	0.01
jolden	160	64	16	UseSerialGC	0.01
jolden	160	96	16	UseSerialGC	0.01
jolden	192	16	48	UseSerialGC	0.01
jolden	192	16	64	UseSerialGC	0.01
jolden	192	16	96	UseSerialGC	0.01
jolden	192	16	128	UseSerialGC	0.01
jolden	192	48	16	UseSerialGC	0.01
jolden	224	16	16	UseSerialGC	0.01
jolden	224	16	48	UseSerialGC	0.01
jolden	224	16	96	UseSerialGC	0.01
jolden	224	128	16	UseSerialGC	0.01
jolden	224	192	16	UseSerialGC	0.01
jolden	256	16	96	UseSerialGC	0.01
jolden	256	128	16	UseSerialGC	0.01
jolden	256	160	16	UseSerialGC	0.01
jolden	256	256	16	UseSerialGC	0.01
jolden	512	16	16	UseSerialGC	0.01
jolden	512	16	256	UseSerialGC	0.01
jolden	512	48	16	UseSerialGC	0.01
jolden	512	224	16	UseSerialGC	0.01
