,min_heap,init_heap,max_heap,gc_name,entropy,complexity,dit,wmc,noc,cbo,rfc,lcom,ca,npm
0,16,16,16,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.11,1.4444444444
1,16,16,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.11,1.4444444444
2,16,32,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.12,1.4444444444
3,16,16,48,UseParallelGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.12,1.4444444444
4,16,32,48,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.13,1.4444444444
5,16,48,48,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.12,1.4444444444
6,16,16,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.12,1.4444444444
7,16,32,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.13,1.4444444444
8,16,48,64,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.13,1.4444444444
9,16,64,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.14,1.4444444444
10,16,16,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.13,1.4444444444
11,16,32,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.13,1.4444444444
12,16,48,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.14,1.4444444444
13,16,64,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.14,1.4444444444
14,16,96,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.15,1.4444444444
15,16,16,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.14,1.4444444444
16,16,32,128,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.14,1.4444444444
17,16,48,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.15,1.4444444444
18,16,64,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.15,1.4444444444
19,16,96,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.16,1.4444444444
20,16,128,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.15,1.4444444444
21,16,16,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.15,1.4444444444
22,16,32,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.16,1.4444444444
23,16,48,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.16,1.4444444444
24,16,64,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.17,1.4444444444
25,16,96,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.16,1.4444444444
26,16,128,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.16,1.4444444444
27,16,160,160,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.17,1.4444444444
28,16,16,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.17,1.4444444444
29,16,32,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.18,1.4444444444
30,16,48,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.17,1.4444444444
31,16,64,192,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.17,1.4444444444
32,16,96,192,UseParallelGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.18,1.4444444444
33,16,128,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.18,1.4444444444
34,16,160,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.19,1.4444444444
35,16,192,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.18,1.4444444444
36,16,16,224,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.18,1.4444444444
37,16,32,224,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.19,1.4444444444
38,16,48,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.19,1.4444444444
39,16,64,224,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.110,1.4444444444
40,16,96,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.19,1.4444444444
41,16,128,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.19,1.4444444444
42,16,160,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.110,1.4444444444
43,16,192,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.110,1.4444444444
44,16,224,224,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.111,1.4444444444
45,16,16,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.110,1.4444444444
46,16,32,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.110,1.4444444444
47,16,48,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.111,1.4444444444
48,16,64,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.111,1.4444444444
49,16,96,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.112,1.4444444444
50,16,128,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.111,1.4444444444
51,16,160,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.111,1.4444444444
52,16,192,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.112,1.4444444444
53,16,224,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.112,1.4444444444
54,16,256,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.113,1.4444444444
