index    prog_name    min_heap    init_heap    max_heap    gc_name
103    bh    32.0    32.0    224.0    UseConcMarkSweepGC
104    bh    32.0    48.0    224.0    UseSerialGC
105    bh    32.0    64.0    224.0    UseConcMarkSweepGC
106    bh    32.0    96.0    224.0    UseSerialGC
107    bh    32.0    128.0    224.0    UseSerialGC
108    bh    32.0    160.0    224.0    UseSerialGC
109    bh    32.0    192.0    224.0    UseSerialGC
110    bh    32.0    224.0    224.0    UseSerialGC
111    bh    32.0    16.0    256.0    UseConcMarkSweepGC
112    bh    32.0    32.0    256.0    UseConcMarkSweepGC
113    bh    32.0    48.0    256.0    UseSerialGC
114    bh    32.0    64.0    256.0    UseSerialGC
115    bh    32.0    96.0    256.0    UseSerialGC
116    bh    32.0    128.0    256.0    UseSerialGC
117    bh    32.0    160.0    256.0    UseSerialGC
118    bh    32.0    192.0    256.0    UseSerialGC
119    bh    32.0    224.0    256.0    UseSerialGC
120    bh    32.0    256.0    256.0    UseSerialGC
121    bh    32.0    16.0    512.0    UseSerialGC
122    bh    32.0    32.0    512.0    UseConcMarkSweepGC
123    bh    32.0    48.0    512.0    UseSerialGC
124    bh    32.0    64.0    512.0    UseConcMarkSweepGC
125    bh    32.0    96.0    512.0    UseSerialGC
126    bh    32.0    128.0    512.0    UseSerialGC
127    bh    32.0    160.0    512.0    UseSerialGC
128    bh    32.0    192.0    512.0    UseSerialGC
129    bh    32.0    224.0    512.0    UseSerialGC
130    bh    32.0    256.0    512.0    UseSerialGC
131    bh    32.0    512.0    512.0    UseSerialGC
132    bh    48.0    16.0    16.0    UseG1GC
133    bh    48.0    16.0    32.0    UseG1GC
134    bh    48.0    32.0    32.0    UseG1GC
135    bh    48.0    16.0    48.0    UseG1GC
136    bh    48.0    32.0    48.0    UseG1GC
137    bh    48.0    48.0    48.0    UseG1GC
138    bh    48.0    16.0    64.0    UseConcMarkSweepGC
139    bh    48.0    32.0    64.0    UseConcMarkSweepGC
140    bh    48.0    48.0    64.0    UseConcMarkSweepGC
141    bh    48.0    64.0    64.0    UseConcMarkSweepGC
142    bh    48.0    16.0    96.0    UseConcMarkSweepGC
143    bh    48.0    32.0    96.0    UseConcMarkSweepGC
144    bh    48.0    48.0    96.0    UseConcMarkSweepGC
145    bh    48.0    64.0    96.0    UseConcMarkSweepGC
146    bh    48.0    96.0    96.0    UseSerialGC
147    bh    48.0    16.0    128.0    UseConcMarkSweepGC
148    bh    48.0    32.0    128.0    UseConcMarkSweepGC
149    bh    48.0    48.0    128.0    UseConcMarkSweepGC
150    bh    48.0    64.0    128.0    UseConcMarkSweepGC
151    bh    48.0    96.0    128.0    UseG1GC
152    bh    48.0    128.0    128.0    UseSerialGC
153    bh    48.0    16.0    160.0    UseParallelGC
154    bh    48.0    32.0    160.0    UseConcMarkSweepGC
155    bh    48.0    48.0    160.0    UseConcMarkSweepGC
156    bh    48.0    64.0    160.0    UseConcMarkSweepGC
157    bh    48.0    96.0    160.0    UseSerialGC
158    bh    48.0    128.0    160.0    UseParallelGC
159    bh    48.0    160.0    160.0    UseSerialGC
160    bh    48.0    16.0    192.0    UseConcMarkSweepGC
161    bh    48.0    32.0    192.0    UseConcMarkSweepGC
162    bh    48.0    48.0    192.0    UseConcMarkSweepGC
163    bh    48.0    64.0    192.0    UseConcMarkSweepGC
164    bh    48.0    96.0    192.0    UseSerialGC
165    bh    48.0    128.0    192.0    UseSerialGC
166    bh    48.0    160.0    192.0    UseSerialGC
167    bh    48.0    192.0    192.0    UseSerialGC
168    bh    48.0    16.0    224.0    UseConcMarkSweepGC
169    bh    48.0    32.0    224.0    UseConcMarkSweepGC
170    bh    48.0    48.0    224.0    UseConcMarkSweepGC
171    bh    48.0    64.0    224.0    UseConcMarkSweepGC
172    bh    48.0    96.0    224.0    UseSerialGC
173    bh    48.0    128.0    224.0    UseSerialGC
174    bh    48.0    160.0    224.0    UseSerialGC
175    bh    48.0    192.0    224.0    UseSerialGC
176    bh    48.0    224.0    224.0    UseSerialGC
177    bh    48.0    16.0    256.0    UseSerialGC
178    bh    48.0    32.0    256.0    UseConcMarkSweepGC
179    bh    48.0    48.0    256.0    UseConcMarkSweepGC
180    bh    48.0    64.0    256.0    UseConcMarkSweepGC
181    bh    48.0    96.0    256.0    UseSerialGC
182    bh    48.0    128.0    256.0    UseSerialGC
183    bh    48.0    160.0    256.0    UseSerialGC
184    bh    48.0    192.0    256.0    UseSerialGC
185    bh    48.0    224.0    256.0    UseSerialGC
186    bh    48.0    256.0    256.0    UseSerialGC
187    bh    48.0    16.0    512.0    UseConcMarkSweepGC
188    bh    48.0    32.0    512.0    UseConcMarkSweepGC
189    bh    48.0    48.0    512.0    UseConcMarkSweepGC
190    bh    48.0    64.0    512.0    UseConcMarkSweepGC
