benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
luindex	160	160	512	UseParallelGC	0.02
luindex	192	16	16	UseParallelGC	0.01
luindex	192	16	32	UseParallelGC	0.01
luindex	192	16	48	UseParallelGC	0.02
luindex	192	16	64	UseParallelGC	0.02
luindex	192	16	96	UseParallelGC	0.02
luindex	192	16	128	UseParallelGC	0.01
luindex	192	16	160	UseParallelGC	0.02
luindex	192	16	192	UseParallelGC	0.03
luindex	192	16	224	UseParallelGC	0.02
luindex	192	16	256	UseParallelGC	0.02
luindex	192	16	512	UseParallelGC	0.02
luindex	192	32	16	UseParallelGC	0.01
luindex	192	32	32	UseParallelGC	0.01
luindex	192	32	48	UseParallelGC	0.01
luindex	192	32	64	UseParallelGC	0.01
luindex	192	32	96	UseParallelGC	0.02
luindex	192	32	128	UseParallelGC	0.03
luindex	192	32	160	UseParallelGC	0.02
luindex	192	32	192	UseParallelGC	0.01
luindex	192	32	224	UseParallelGC	0.02
luindex	192	32	256	UseParallelGC	0.01
luindex	192	32	512	UseParallelGC	0.03
luindex	192	48	16	UseParallelGC	0.02
luindex	192	48	32	UseParallelGC	0.02
luindex	192	48	48	UseParallelGC	0.01
luindex	192	48	64	UseParallelGC	0.01
luindex	192	48	96	UseParallelGC	0.01
luindex	192	48	128	UseParallelGC	0.01
luindex	192	48	160	UseParallelGC	0.01
luindex	192	48	192	UseParallelGC	0.01
luindex	192	48	224	UseParallelGC	0.01
luindex	192	48	256	UseParallelGC	0.01
luindex	192	48	512	UseParallelGC	0.01
luindex	192	64	16	UseParallelGC	0.02
luindex	192	64	32	UseParallelGC	0.01
luindex	192	64	48	UseParallelGC	0.01
luindex	192	64	64	UseParallelGC	0.01
luindex	192	64	96	UseParallelGC	0.01
luindex	192	64	128	UseParallelGC	0.01
luindex	192	64	160	UseParallelGC	0.01
luindex	192	64	192	UseParallelGC	0.01
luindex	192	64	224	UseParallelGC	0.01
luindex	192	64	256	UseParallelGC	0.01
luindex	192	64	512	UseParallelGC	0.01
luindex	192	96	16	UseParallelGC	0.02
luindex	192	96	32	UseParallelGC	0.01
luindex	192	96	64	UseParallelGC	0.01
luindex	192	96	96	UseParallelGC	0.01
luindex	192	96	128	UseParallelGC	0.01
luindex	192	96	160	UseParallelGC	0.01
luindex	192	96	192	UseParallelGC	0.01
luindex	192	96	224	UseParallelGC	0.01
luindex	192	96	256	UseParallelGC	0.01
luindex	192	96	512	UseParallelGC	0.01
luindex	192	128	16	UseParallelGC	0.01
luindex	192	128	32	UseParallelGC	0.01
luindex	192	128	48	UseParallelGC	0.01
luindex	192	128	64	UseParallelGC	0.01
luindex	192	128	96	UseParallelGC	0.01
luindex	192	128	128	UseParallelGC	0.02
luindex	192	128	160	UseParallelGC	0.03
luindex	192	128	192	UseParallelGC	0.01
luindex	192	128	224	UseParallelGC	0.02
luindex	192	128	256	UseParallelGC	0.01
luindex	192	128	512	UseParallelGC	0.01
luindex	192	160	16	UseParallelGC	0.02
luindex	192	160	32	UseParallelGC	0.01
luindex	192	160	64	UseParallelGC	0.02
luindex	192	160	96	UseParallelGC	0.01
luindex	192	160	128	UseParallelGC	0.01
luindex	192	160	160	UseParallelGC	0.01
luindex	192	160	192	UseParallelGC	0.01
luindex	192	160	224	UseParallelGC	0.01
luindex	192	160	256	UseParallelGC	0.02
luindex	192	160	512	UseParallelGC	0.01
luindex	192	192	32	UseParallelGC	0.01
luindex	192	192	48	UseParallelGC	0.01
luindex	192	192	64	UseParallelGC	0.01
luindex	192	192	96	UseParallelGC	0.01
luindex	192	192	160	UseParallelGC	0.01
luindex	192	192	192	UseParallelGC	0.01
luindex	192	192	224	UseParallelGC	0.01
luindex	192	192	256	UseParallelGC	0.01
luindex	192	192	512	UseParallelGC	0.02
luindex	224	16	16	UseParallelGC	0.01
luindex	224	16	32	UseParallelGC	0.01
luindex	224	16	48	UseParallelGC	0.02
luindex	224	16	64	UseParallelGC	0.02
luindex	224	16	96	UseParallelGC	0.03
luindex	224	16	128	UseParallelGC	0.02
luindex	224	16	160	UseParallelGC	0.02
luindex	224	16	192	UseParallelGC	0.02
luindex	224	16	224	UseParallelGC	0.02
luindex	224	16	256	UseParallelGC	0.04
luindex	224	16	512	UseParallelGC	0.02
luindex	224	32	16	UseParallelGC	0.02
luindex	224	32	32	UseParallelGC	0.02
luindex	224	32	48	UseParallelGC	0.01
luindex	224	32	64	UseParallelGC	0.02
luindex	224	32	96	UseParallelGC	0.02
luindex	224	32	128	UseParallelGC	0.02
luindex	224	32	160	UseParallelGC	0.02
luindex	224	32	192	UseParallelGC	0.01
luindex	224	32	224	UseParallelGC	0.01
luindex	224	32	256	UseParallelGC	0.01
luindex	224	32	512	UseParallelGC	0.01
luindex	224	48	16	UseParallelGC	0.01
luindex	224	48	32	UseParallelGC	0.01
luindex	224	48	48	UseParallelGC	0.01
luindex	224	48	64	UseParallelGC	0.01
luindex	224	48	96	UseParallelGC	0.03
luindex	224	48	128	UseParallelGC	0.01
luindex	224	48	160	UseParallelGC	0.01
luindex	224	48	192	UseParallelGC	0.01
luindex	224	48	224	UseParallelGC	0.01
luindex	224	48	256	UseParallelGC	0.02
luindex	224	48	512	UseParallelGC	0.02
luindex	224	64	16	UseParallelGC	0.01
luindex	224	64	32	UseParallelGC	0.01
luindex	224	64	48	UseParallelGC	0.01
luindex	224	64	64	UseParallelGC	0.01
luindex	224	64	96	UseParallelGC	0.01
luindex	224	64	128	UseParallelGC	0.01
luindex	224	64	160	UseParallelGC	0.01
luindex	224	64	224	UseParallelGC	0.02
luindex	224	64	256	UseParallelGC	0.01
luindex	224	64	512	UseParallelGC	0.01
luindex	224	96	16	UseParallelGC	0.01
luindex	224	96	32	UseParallelGC	0.01
luindex	224	96	48	UseParallelGC	0.01
luindex	224	96	64	UseParallelGC	0.01
luindex	224	96	96	UseParallelGC	0.02
luindex	224	96	128	UseParallelGC	0.01
luindex	224	96	160	UseParallelGC	0.01
luindex	224	96	192	UseParallelGC	0.03
luindex	224	96	224	UseParallelGC	0.01
luindex	224	96	256	UseParallelGC	0.02
luindex	224	96	512	UseParallelGC	0.01
luindex	224	128	16	UseParallelGC	0.01
luindex	224	128	48	UseParallelGC	0.01
luindex	224	128	64	UseParallelGC	0.01
luindex	224	128	96	UseParallelGC	0.01
luindex	224	128	128	UseParallelGC	0.01
luindex	224	128	160	UseParallelGC	0.03
luindex	224	128	192	UseParallelGC	0.01
luindex	224	128	224	UseParallelGC	0.01
luindex	224	128	256	UseParallelGC	0.01
luindex	224	128	512	UseParallelGC	0.01
luindex	224	160	16	UseParallelGC	0.02
luindex	224	160	48	UseParallelGC	0.03
luindex	224	160	96	UseParallelGC	0.02
luindex	224	160	128	UseParallelGC	0.01
luindex	224	160	160	UseParallelGC	0.01
luindex	224	160	192	UseParallelGC	0.01
luindex	224	160	224	UseParallelGC	0.01
luindex	224	160	256	UseParallelGC	0.01
luindex	224	160	512	UseParallelGC	0.01
luindex	224	192	16	UseParallelGC	0.01
luindex	224	192	32	UseParallelGC	0.01
luindex	224	192	48	UseParallelGC	0.02
luindex	224	192	64	UseParallelGC	0.01
luindex	224	192	160	UseParallelGC	0.01
luindex	224	192	192	UseParallelGC	0.01
luindex	224	192	224	UseParallelGC	0.02
luindex	224	192	256	UseParallelGC	0.01
luindex	224	192	512	UseParallelGC	0.01
luindex	224	224	16	UseParallelGC	0.01
luindex	224	224	32	UseParallelGC	0.01
luindex	224	224	48	UseParallelGC	0.01
luindex	224	224	64	UseParallelGC	0.03
luindex	224	224	96	UseParallelGC	0.01
luindex	224	224	128	UseParallelGC	0.01
luindex	224	224	160	UseParallelGC	0.01
luindex	224	224	192	UseParallelGC	0.01
luindex	224	224	224	UseParallelGC	0.01
luindex	224	224	256	UseParallelGC	0.01
luindex	224	224	512	UseParallelGC	0.01
luindex	256	16	16	UseParallelGC	0.02
luindex	256	16	32	UseParallelGC	0.01
luindex	256	16	48	UseParallelGC	0.01
luindex	256	16	64	UseParallelGC	0.03
luindex	256	16	96	UseParallelGC	0.01
luindex	256	16	128	UseParallelGC	0.01
luindex	256	16	160	UseParallelGC	0.02
luindex	256	16	192	UseParallelGC	0.02
luindex	256	16	224	UseParallelGC	0.01
luindex	256	16	256	UseParallelGC	0.03
luindex	256	16	512	UseParallelGC	0.02
luindex	256	32	16	UseParallelGC	0.01
luindex	256	32	32	UseParallelGC	0.02
luindex	256	32	48	UseParallelGC	0.01
luindex	256	32	64	UseParallelGC	0.01
luindex	256	32	96	UseParallelGC	0.01
luindex	256	32	128	UseParallelGC	0.02
luindex	256	32	160	UseParallelGC	0.02
luindex	256	32	192	UseParallelGC	0.01
luindex	256	32	224	UseParallelGC	0.03
luindex	256	32	256	UseParallelGC	0.01
luindex	256	32	512	UseParallelGC	0.02
luindex	256	48	16	UseParallelGC	0.01
luindex	256	48	32	UseParallelGC	0.01
luindex	256	48	48	UseParallelGC	0.01
luindex	256	48	64	UseParallelGC	0.02
luindex	256	48	96	UseParallelGC	0.01
luindex	256	48	128	UseParallelGC	0.01
luindex	256	48	160	UseParallelGC	0.01
luindex	256	48	192	UseParallelGC	0.01
luindex	256	48	224	UseParallelGC	0.02
luindex	256	48	256	UseParallelGC	0.01
luindex	256	48	512	UseParallelGC	0.01
luindex	256	64	16	UseParallelGC	0.01
luindex	256	64	32	UseParallelGC	0.01
luindex	256	64	48	UseParallelGC	0.01
luindex	256	64	64	UseParallelGC	0.02
luindex	256	64	96	UseParallelGC	0.01
luindex	256	64	128	UseParallelGC	0.01
luindex	256	64	160	UseParallelGC	0.01
luindex	256	64	192	UseParallelGC	0.01
luindex	256	64	224	UseParallelGC	0.01
luindex	256	64	256	UseParallelGC	0.01
luindex	256	64	512	UseParallelGC	0.02
luindex	256	96	16	UseParallelGC	0.01
luindex	256	96	32	UseParallelGC	0.01
luindex	256	96	48	UseParallelGC	0.01
luindex	256	96	64	UseParallelGC	0.01
luindex	256	96	96	UseParallelGC	0.01
luindex	256	96	128	UseParallelGC	0.01
luindex	256	96	160	UseParallelGC	0.01
luindex	256	96	192	UseParallelGC	0.01
luindex	256	96	224	UseParallelGC	0.01
luindex	256	96	256	UseParallelGC	0.02
luindex	256	96	512	UseParallelGC	0.02
luindex	256	128	16	UseParallelGC	0.01
luindex	256	128	32	UseParallelGC	0.02
luindex	256	128	48	UseParallelGC	0.01
luindex	256	128	64	UseParallelGC	0.01
luindex	256	128	96	UseParallelGC	0.02
luindex	256	128	128	UseParallelGC	0.02
luindex	256	128	160	UseParallelGC	0.02
luindex	256	128	192	UseParallelGC	0.01
luindex	256	128	224	UseParallelGC	0.01
luindex	256	128	256	UseParallelGC	0.01
luindex	256	128	512	UseParallelGC	0.01
luindex	256	160	16	UseParallelGC	0.01
luindex	256	160	32	UseParallelGC	0.01
luindex	256	160	48	UseParallelGC	0.02
luindex	256	160	96	UseParallelGC	0.01
luindex	256	160	128	UseParallelGC	0.02
luindex	256	160	160	UseParallelGC	0.01
luindex	256	160	192	UseParallelGC	0.01
luindex	256	160	224	UseParallelGC	0.02
luindex	256	160	256	UseParallelGC	0.01
